date,kospi_open,kospi_high,kospi_low,kospi_close,kospi_volume,btc_open,btc_high,btc_low,btc_close,btc_volume
2025-10-27,3999.7900390625,4042.830078125,3999.7900390625,4042.830078125,517000,169514000.0,171500000.0,168793000.0,168980000.0,1539.67425404
2025-10-28,4010.469970703125,4018.219970703125,3972.56005859375,4010.409912109375,408200,168980000.0,170859000.0,167550000.0,168263000.0,1268.51890121
2025-10-29,4061.5400390625,4084.090087890625,4014.840087890625,4081.14990234375,466900,168263000.0,168401000.0,164000000.0,164617000.0,1947.2314325
2025-10-30,4105.9501953125,4146.72021484375,4070.7900390625,4086.889892578125,566500,164597000.0,166201000.0,162000000.0,164258000.0,2160.38972862
2025-10-31,4083.25,4122.08984375,4059.739990234375,4107.5,408300,164259000.0,166000000.0,163255000.0,164275000.0,1085.96360328
2025-11-03,4123.35986328125,4221.919921875,4123.35986328125,4221.8701171875,472700,164074000.0,164133000.0,158000000.0,158587000.0,3370.61616028
2025-11-04,4219.240234375,4226.75,4117.91015625,4121.740234375,423500,158589000.0,161128000.0,147651000.0,152873000.0,6623.28166665
2025-11-05,4055.469970703125,4055.469970703125,3867.81005859375,4004.419921875,594200,152873000.0,156324000.0,146679000.0,156008000.0,4638.82222413
2025-11-06,4092.4599609375,4111.9599609375,3985.2900390625,4026.449951171875,423400,156008000.0,156126000.0,150500000.0,151401000.0,1828.65611327
2025-11-07,3963.719970703125,4037.610107421875,3887.320068359375,3953.760009765625,377100,151412000.0,154961000.0,148831000.0,153850000.0,2342.63161192
2025-11-10,3991.8701171875,4092.909912109375,3984.239990234375,4073.239990234375,339500,155490000.0,158330000.0,154922000.0,156797000.0,1825.40211546
2025-11-11,4124.2998046875,4187.4599609375,4066.580078125,4106.39013671875,377600,156802000.0,159150000.0,153267000.0,154302000.0,1489.05390557
2025-11-12,4097.43994140625,4154.6201171875,4088.860107421875,4150.39013671875,334600,154302000.0,157200000.0,152000000.0,153300000.0,1370.69258931
2025-11-13,4127.56982421875,4188.5400390625,4123.83984375,4170.6298828125,424200,153300000.0,155271000.0,149000000.0,151306000.0,2615.18799842
2025-11-14,4061.909912109375,4092.760009765625,4011.39990234375,4011.570068359375,400000,151314000.0,151619000.0,142950000.0,143623000.0,6095.07370382
2025-11-17,4078.570068359375,4089.8798828125,4045.39990234375,4089.25,344100,140320000.0,142926000.0,137127000.0,137706000.0,3402.72907309
2025-11-18,4044.469970703125,4072.409912109375,3953.260009765625,3953.6201171875,319700,137706000.0,139184000.0,132200000.0,137750000.0,6342.5202439
2025-11-19,3966.639892578125,3966.639892578125,3854.949951171875,3929.510009765625,338200,137750000.0,137807000.0,132449000.0,136500000.0,2862.63500623
2025-11-20,4030.969970703125,4059.3701171875,4001.31005859375,4004.85009765625,360300,136500000.0,138621000.0,129800000.0,129896000.0,4303.83230626
2025-11-21,3908.699951171875,3911.550048828125,3838.4599609375,3853.260009765625,319300,129896000.0,131000000.0,121455000.0,128044000.0,8849.11214826
2025-11-24,3915.159912109375,3917.159912109375,3838.199951171875,3846.06005859375,373100,131998000.0,133761000.0,129050000.0,132574000.0,3273.54848822
2025-11-25,3942.360107421875,3946.610107421875,3833.35009765625,3857.780029296875,279300,132574000.0,132750000.0,129365000.0,130736000.0,2126.40154021
2025-11-26,3891.8798828125,3960.8701171875,3866.659912109375,3960.8701171875,295300,130779000.0,135485000.0,129600000.0,135366000.0,2216.72386044
2025-11-27,3989.449951171875,4023.419921875,3968.429931640625,3986.909912109375,257900,135366000.0,138400000.0,134608000.0,136941000.0,2460.70846276
2025-11-28,3995.300048828125,3995.300048828125,3921.889892578125,3926.590087890625,241900,136989000.0,139868000.0,135691000.0,136334000.0,1928.85863285
2025-12-01,3967.919921875,3977.31005859375,3892.080078125,3920.3701171875,296900,135752000.0,135839000.0,125809000.0,129172000.0,5383.62240806
2025-12-02,3939.090087890625,3994.929931640625,3935.139892578125,3994.929931640625,319000,129169000.0,137330000.0,128650000.0,135626000.0,2981.09361989
2025-12-03,4010.260009765625,4052.830078125,3987.760009765625,4036.300048828125,290900,135683000.0,140212000.0,135200000.0,138881000.0,2892.41653651
2025-12-04,4018.909912109375,4028.530029296875,3982.5400390625,4028.510009765625,352000,138998000.0,139769000.0,135909000.0,137390000.0,1624.69297075
2025-12-05,4023.5,4100.0498046875,4003.2900390625,4100.0498046875,478500,137447000.0,138298000.0,132000000.0,133828000.0,1944.65242825
2025-12-08,4109.25,4154.85009765625,4081.260009765625,4154.85009765625,395600,135195000.0,137296000.0,133758000.0,134986000.0,1384.0073064
2025-12-09,4129.77001953125,4152.18017578125,4121.2099609375,4143.5498046875,400600,134975000.0,139858000.0,133300000.0,137200000.0,1957.43520256
2025-12-10,4159.0498046875,4172.64013671875,4123.60009765625,4135.0,317900,137254000.0,139789000.0,136304000.0,136700000.0,1708.13265878
2025-12-11,4163.31982421875,4170.77001953125,4103.2001953125,4110.6201171875,539800,136702000.0,138792000.0,133364000.0,137332000.0,1851.33056914
2025-12-12,4123.830078125,4168.169921875,4120.72998046875,4167.16015625,426600,137333000.0,137731000.0,134134000.0,134902000.0,1248.58776744
2025-12-15,4053.739990234375,4123.18994140625,4052.64990234375,4090.590087890625,346800,131797000.0,134235000.0,127602000.0,129132000.0,2256.23690222
2025-12-16,4093.320068359375,4099.009765625,3996.22998046875,3999.1298828125,374000,129132000.0,131100000.0,127000000.0,130682000.0,1837.67046579
2025-12-17,4019.429931640625,4060.239990234375,3994.64990234375,4056.409912109375,361000,130682000.0,134100000.0,127633000.0,128680000.0,1765.6164555
2025-12-18,3989.60009765625,4030.64990234375,3975.5,3994.510009765625,581400,128680000.0,132900000.0,126226000.0,127135000.0,2340.67880555
2025-12-19,4055.780029296875,4055.780029296875,3997.050048828125,4020.550048828125,442700,127233000.0,132770000.0,126551000.0,131223000.0,2121.91118891
2025-12-22,4096.259765625,4105.93017578125,4083.1298828125,4105.93017578125,315600,131859000.0,134750000.0,131050000.0,132200000.0,1607.47665651
2025-12-23,4127.39990234375,4140.83984375,4110.25,4117.31982421875,385800,132201000.0,132618000.0,129380000.0,130451000.0,1251.77181168
2025-12-24,4136.240234375,4137.2001953125,4106.6201171875,4108.6201171875,363600,130451000.0,130550000.0,127900000.0,129236000.0,1233.62965006
2025-12-26,4130.3701171875,4143.14013671875,4116.52978515625,4129.68017578125,510200,128497000.0,130800000.0,127439000.0,128152000.0,1416.92893291
2025-12-29,4146.47998046875,4220.56005859375,4146.47998046875,4220.56005859375,502400,127914000.0,130575000.0,126500000.0,127161000.0,1716.16307789
2025-12-30,4193.75,4226.35986328125,4186.9501953125,4214.169921875,408200,127161000.0,129602000.0,126356000.0,128570000.0,1093.6008784
2026-01-02,4224.52978515625,4313.5498046875,4216.68017578125,4309.6298828125,406300,128830000.0,131400000.0,128321000.0,130150000.0,1503.23975291
2026-01-05,4385.919921875,4457.52001953125,4381.93017578125,4457.52001953125,513900,132386000.0,136950000.0,132364000.0,136074000.0,2066.27446338
2026-01-06,4446.080078125,4525.47998046875,4395.0,4525.47998046875,498400,136074000.0,136800000.0,133182000.0,136299000.0,1700.60775251
2026-01-07,4566.33984375,4611.72021484375,4488.2001953125,4551.06005859375,553700,136299000.0,136299000.0,132500000.0,132939000.0,1303.7621332
2026-01-08,4531.4599609375,4622.31982421875,4527.5,4552.3701171875,440100,132939000.0,133750000.0,130777000.0,133174000.0,1215.09100251
2026-01-09,4530.02978515625,4590.02978515625,4500.47998046875,4586.31982421875,399200,133200000.0,134809000.0,131770000.0,133451000.0,839.63400522
2026-01-12,4639.89013671875,4652.5400390625,4567.5498046875,4624.7900390625,394800,133751000.0,136000000.0,133200000.0,134602000.0,1315.03099916
2026-01-13,4662.43994140625,4693.06982421875,4641.580078125,4692.64013671875,429200,134602000.0,140670000.0,134321000.0,139968000.0,1960.12905214
2026-01-14,4685.10986328125,4723.10009765625,4669.31982421875,4723.10009765625,550400,139946000.0,143050000.0,138800000.0,142160000.0,1980.87710753
